Sensors: lowerArm (0), thumb (1), index (2), mid (3), ring (4), pinky (5), palm (6)
Timestamp, Tick, Sensor, QuatI, QuatJ, QuatK, QuatSum
0.0,13163,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.0,13163,1,-0.38228474978211013,-0.7151094568133601,0.07344685915710995,-0.5805879724383601
0.0,13163,2,0.09271643064295648,-0.8010823974820436,0.5911824951382934,0.013187622049206496
0.007,13171,3,-0.049442991658317725,-0.7706343979083177,0.6351363510333177,-0.01672814790831772
0.007,13171,4,-0.2566000776091171,-0.7687460737028671,0.5279623822966169,-0.2538534955778671
0.007,13171,5,0.08110496764709851,-0.6914170050091515,0.7159531378216514,-0.05268409485290148
0.037,13200,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.037,13200,1,-0.3823126535263507,-0.7151373605576006,0.07329165743260047,-0.5805548410263507
0.037,13200,2,0.09284605958258725,-0.8010748388549128,0.5911749365111628,0.013073110363837253
0.04,13204,3,-0.049145943452226504,-0.7706425254834766,0.6351444786084763,-0.016919380952226497
0.04,13204,4,-0.25661834513031917,-0.7688253763803192,0.527858579505319,-0.2538107279428192
0.04,13204,5,0.08120486689860495,-0.691439176070145,0.7159142737263949,-0.05276730107014504
0.064,13229,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.064,13229,1,-0.3824928222807088,-0.7150123535307088,0.07359389649945863,-0.5805519043119589
0.065,13229,2,0.09255940757164705,-0.801117350240853,0.5911564127408528,0.01333577475914706
0.069,13232,3,-0.049442991658317725,-0.7706343979083177,0.6351363510333177,-0.01672814790831772
0.069,13232,4,-0.25671381977434604,-0.768798780711846,0.5278930189930958,-0.25372309711809604
0.069,13232,5,0.08079853835232671,-0.6914792936789235,0.7159543913351732,-0.0523191374289233
0.102,13265,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.102,13265,1,-0.38242532248033245,-0.7150669240428325,0.07346536154283223,-0.5805454396678325
0.102,13265,2,0.09255940757164705,-0.801117350240853,0.5911564127408528,0.01333577475914706
0.108,13271,3,-0.049442991658317725,-0.7706343979083177,0.6351363510333177,-0.01672814790831772
0.108,13271,4,-0.2566792833979629,-0.7688252794917129,0.5278584826167128,-0.2537495958979629
0.108,13271,5,0.08076670648097502,-0.6913890552377752,0.7160472583627749,-0.052289934144024997
0.135,13298,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.135,13298,1,-0.38242532248033245,-0.7150669240428325,0.07346536154283223,-0.5805454396678325
0.135,13298,2,0.09255940757164705,-0.801117350240853,0.5911564127408528,0.01333577475914706
0.141,13304,3,-0.049442991658317725,-0.7706343979083177,0.6351363510333177,-0.01672814790831772
0.141,13304,4,-0.2566792833979629,-0.7688252794917129,0.5278584826167128,-0.2537495958979629
0.141,13304,5,0.0805330508756566,-0.6913785702180935,0.7160978084993432,-0.052096343655593395
0.165,13329,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.166,13329,1,-0.3824476778663829,-0.7150282442726328,0.07354875208513267,-0.5805677950538829
0.166,13329,2,0.09255814799324152,-0.8011186098192584,0.5911576723192584,0.013212444868241538
0.167,13330,3,-0.0492382947231062,-0.7706128064418563,0.635175794723106,-0.016828626754356195
0.167,13330,4,-0.2564964562262177,-0.7688255577887176,0.5278587609137175,-0.2539329796637177
0.167,13330,5,0.0805330508756566,-0.6913785702180935,0.7160978084993432,-0.052096343655593395
0.204,13367,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.204,13367,1,-0.38245363866151116,-0.7151562753802612,0.073188501942761,-0.5804516855365112
0.204,13367,2,0.0928062091595116,-0.8010536541217383,0.5912147869342383,0.012850154472011613
0.207,13371,3,-0.048939775454479806,-0.7706194629544799,0.6351824512357298,-0.017140459048229802
0.208,13371,4,-0.25632261316607763,-0.7688958553535777,0.5278069881660775,-0.2540032772285777
0.208,13371,5,0.08077243442869438,-0.6913222921338057,0.7161025655713057,-0.05240627650880564
0.234,13398,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.235,13398,1,-0.3823915731248777,-0.7152773153123777,0.07282126062487754,-0.5803896199998777
0.235,13398,2,0.0930655685045681,-0.801038435401682,0.5911995682141817,0.01262123256706811
0.238,13402,3,-0.04843627010198509,-0.7706042388519851,0.6352282622894851,-0.017552481039485087
0.239,13402,4,-0.2562535090089468,-0.7689488215089468,0.5277378840089466,-0.25405624338394683
0.239,13402,5,0.08093922754685207,-0.6913386044843979,0.7160578427656479,-0.05254465917189793
0.266,13429,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.267,13429,1,-0.38230699747376373,-0.7154368802862636,0.07237047403626351,-0.5803050443487637
0.267,13429,2,0.09315433438015586,-0.8008275992135941,0.591477013276094,0.01234378750515587
0.268,13431,3,-0.0484913572725022,-0.7703541502412522,0.6355274900850021,-0.017546533053752193
0.268,13431,4,-0.2559455380637496,-0.7687018857199996,0.5281012997824994,-0.25435862400124964
0.268,13431,5,0.08119617888187874,-0.6910816531493713,0.7162281375243711,-0.05320323518062125
0.302,13466,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.302,13466,1,-0.3823073261708171,-0.7154982441395671,0.07224873242081692,-0.5802443378895672
0.302,13466,2,0.0931245723776446,-0.8006742557473554,0.5916898807473553,0.012314025502644613
0.308,13471,3,-0.048547788681535864,-0.7701054058690359,0.6358280621190358,-0.017419858994035857
0.308,13471,4,-0.2557236545385559,-0.768418967038556,0.5285508029760557,-0.25450295141355594
0.308,13471,5,0.0812959283867763,-0.6905546575507238,0.7166777044257235,-0.0538359075507237
0.335,13499,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.335,13499,1,-0.3825569103444272,-0.7156257580006771,0.07207107050067696,-0.5799446056569272
0.335,13499,2,0.09322683720517007,-0.80069406123233,0.59164865107608,0.01223318486142007
0.339,13503,3,-0.048422719195418296,-0.7701634418516683,0.6357640277891682,-0.01753893013291829
0.339,13503,4,-0.2555671057188467,-0.7684455236875967,0.5285163244688466,-0.2546515783750968
0.339,13503,5,0.08157476734526103,-0.690458924060989,0.7167040412484889,-0.05428949046723896
0.367,13529,0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17
0.367,13529,1,-0.3825796471359858,-0.7156484947922358,0.07203277213598563,-0.5799063072922359
