Activity,Timestamp
thumbs up,11.413370847702026
peace,16.364104986190796
open palm,21.270287036895752
stacking blocks,27.43133282661438
peace,69.92613887786865
ok sign,74.61770796775818
using controller,78.97580790519714
writing,107.89952492713928
pointing finger,152.1168749332428
moving an object,157.84659886360168
thumbs up,176.91837787628174
pouring water,180.9787678718567
thumbs up,220.02133297920227
pointing finger,223.4974648952484
ok sign,229.15590691566467
ok sign,233.59113001823425
pointing finger,238.10753989219666
peace,242.43971300125122
open palm,246.82920289039612
open palm,252.6846399307251
