,Timestamp,frame_path
0,0.0,../../video_data/frames/participant_4\frame_02_0.0.jpg
1,0.005,../../video_data/frames/participant_4\frame_02_0.005.jpg
2,0.034,../../video_data/frames/participant_4\frame_02_0.034.jpg
3,0.036,../../video_data/frames/participant_4\frame_02_0.036.jpg
4,0.075,../../video_data/frames/participant_4\frame_02_0.075.jpg
5,0.076,../../video_data/frames/participant_4\frame_02_0.076.jpg
6,0.077,../../video_data/frames/participant_4\frame_02_0.077.jpg
7,0.103,../../video_data/frames/participant_4\frame_02_0.103.jpg
8,0.104,../../video_data/frames/participant_4\frame_02_0.104.jpg
9,0.107,../../video_data/frames/participant_4\frame_02_0.107.jpg
10,0.134,../../video_data/frames/participant_4\frame_02_0.134.jpg
11,0.135,../../video_data/frames/participant_4\frame_02_0.135.jpg
12,0.169,../../video_data/frames/participant_4\frame_02_0.169.jpg
13,0.171,../../video_data/frames/participant_4\frame_02_0.171.jpg
14,0.176,../../video_data/frames/participant_4\frame_02_0.176.jpg
15,0.203,../../video_data/frames/participant_4\frame_02_0.203.jpg
16,0.207,../../video_data/frames/participant_4\frame_02_0.207.jpg
17,0.233,../../video_data/frames/participant_4\frame_02_0.233.jpg
18,0.234,../../video_data/frames/participant_4\frame_02_0.234.jpg
19,0.235,../../video_data/frames/participant_4\frame_02_0.235.jpg
20,0.268,../../video_data/frames/participant_4\frame_02_0.268.jpg
21,0.27,../../video_data/frames/participant_4\frame_02_0.27.jpg
22,0.279,../../video_data/frames/participant_4\frame_02_0.279.jpg
23,0.28,../../video_data/frames/participant_4\frame_02_0.28.jpg
24,0.306,../../video_data/frames/participant_4\frame_02_0.306.jpg
25,0.307,../../video_data/frames/participant_4\frame_02_0.307.jpg
26,0.336,../../video_data/frames/participant_4\frame_02_0.336.jpg
27,0.337,../../video_data/frames/participant_4\frame_02_0.337.jpg
28,0.376,../../video_data/frames/participant_4\frame_02_0.376.jpg
29,0.377,../../video_data/frames/participant_4\frame_02_0.377.jpg
30,0.404,../../video_data/frames/participant_4\frame_02_0.404.jpg
31,0.407,../../video_data/frames/participant_4\frame_02_0.407.jpg
32,0.435,../../video_data/frames/participant_4\frame_02_0.435.jpg
33,0.436,../../video_data/frames/participant_4\frame_02_0.436.jpg
34,0.47,../../video_data/frames/participant_4\frame_02_0.47.jpg
35,0.475,../../video_data/frames/participant_4\frame_02_0.475.jpg
36,0.502,../../video_data/frames/participant_4\frame_02_0.502.jpg
37,0.503,../../video_data/frames/participant_4\frame_02_0.503.jpg
38,0.505,../../video_data/frames/participant_4\frame_02_0.505.jpg
39,0.534,../../video_data/frames/participant_4\frame_02_0.534.jpg
40,0.537,../../video_data/frames/participant_4\frame_02_0.537.jpg
41,0.571,../../video_data/frames/participant_4\frame_02_0.571.jpg
42,0.574,../../video_data/frames/participant_4\frame_02_0.574.jpg
43,0.575,../../video_data/frames/participant_4\frame_02_0.575.jpg
44,0.602,../../video_data/frames/participant_4\frame_02_0.602.jpg
45,0.603,../../video_data/frames/participant_4\frame_02_0.603.jpg
46,0.605,../../video_data/frames/participant_4\frame_02_0.605.jpg
47,0.641,../../video_data/frames/participant_4\frame_02_0.641.jpg
48,0.642,../../video_data/frames/participant_4\frame_02_0.642.jpg
